Sample	Status	Cell_state	Cell_type	locus	property	mean	scaled_property
CVID-4-Naive-IGL	CVID	CVID naive	Naive	IGL	charge	-0.005734103	1.59221189717788
CVID-5-Bright-IGL	CVID	CVID bright	Bright	IGL	charge	-0.032245755	-0.31477611149273
CVID-5-Naive-IGL	CVID	CVID naive	Naive	IGL	charge	-0.031619582	-0.269735372335724
CVID-6-Bright-IGL	CVID	CVID bright	Bright	IGL	charge	-0.02303412	0.347818489750923
CVID-6-Naive-IGL	CVID	CVID naive	Naive	IGL	charge	-0.028074529	-0.014739057466256
CVID-7-Bright-IGL	CVID	CVID bright	Bright	IGL	charge	-0.02851669	-0.0465437795900152
CVID-7-Naive-IGL	CVID	CVID naive	Naive	IGL	charge	-0.017115135	0.773572170377887
CVID-8-Bright-IGL	CVID	CVID bright	Bright	IGL	charge	-0.026971465	0.0646045391076669
CVID-8-Naive-IGL	CVID	CVID naive	Naive	IGL	charge	-0.017743027	0.728407783234445
CVID-9-Bright-IGL	CVID	CVID bright	Bright	IGL	charge	-0.060938325	-2.37863795337048
CVID-9-Naive-IGL	CVID	CVID naive	Naive	IGL	charge	-0.054808404	-1.93771160743406
HD-1-Bright-IGL	Healthy	Healthy bright	Bright	IGL	charge	-0.020066328	0.561292314627191
HD-1-Naive-IGL	Healthy	Healthy naive	Naive	IGL	charge	-0.028182296	-0.0224907576141911
HD-3-Bright-IGL	Healthy	Healthy bright	Bright	IGL	charge	-0.018390711	0.681819753887657
HD-3-Naive-IGL	Healthy	Healthy naive	Naive	IGL	charge	-0.030359378	-0.179088666635199
HD-4-Bright-IGL	Healthy	Healthy bright	Bright	IGL	charge	-0.019910095	0.572530183076831
HD-4-Naive-IGL	Healthy	Healthy naive	Naive	IGL	charge	-0.03821605	-0.744220529864927
HD-5-Bright-IGL	Healthy	Healthy bright	Bright	IGL	charge	-0.01747434	0.747734488604811
HD-5-Naive-IGL	Healthy	Healthy naive	Naive	IGL	charge	-0.040328875	-0.896196421047395
Infected-2-Bright-IGL	Infected	Infected bright	Bright	IGL	charge	-0.02427266	0.258730079558344
Infected-2-Naive-IGL	Infected	Infected naive	Naive	IGL	charge	-0.02866933	-0.0575232028882495
Infected-3-Bright-IGL	Infected	Infected bright	Bright	IGL	charge	-0.02604136	0.131507162972999
Infected-3-Naive-IGL	Infected	Infected naive	Naive	IGL	charge	-0.025022952	0.204761437883299
