"sample_id"	"state.id"	"cell.type.id"	"..filter.."	"IGKJ1"	"IGKJ2"	"IGKJ3"	"IGKJ4"	"IGKJ5"	"IGLJ1"	"IGLJ2"	"IGLJ3"
"CVID-8-Naive"	"CVID"	"Naive"	"conv:MiXcr"	0.16523683539724	0.120353090041033	0.0687554326370766	0.136391879932863	0.0557006036553529	0.0769613251398747	0.229391994964567	0.145965421186125
"CVID-9-Bright"	"CVID"	"Bright"	"conv:MiXcr"	0.136582533057216	0.150452691562321	0.0518204533037963	0.110961268040841	0.0337121908110199	0.05567327511077	0.235985335677135	0.22365630589482
"CVID-9-Naive"	"CVID"	"Naive"	"conv:MiXcr"	0.172705962338112	0.166023681386058	0.0679939309244977	0.141016794936623	0.0542849215486365	0.041333696610637	0.168159255710941	0.187103866657483
"HD-1-Bright"	"Healthy"	"Bright"	"conv:MiXcr"	0.195428807139677	0.156194147572961	0.0546456169297202	0.152024999687314	0.0533427582154557	0.0764964187946671	0.122543168210234	0.187351083111237
"HD-1-Naive"	"Healthy"	"Naive"	"conv:MiXcr"	0.150094360226503	0.139222334133636	0.0730086752208396	0.140505837214045	0.054209130101927	0.085390704937713	0.177123425096263	0.179010929626275
"HD-3-Bright"	"Healthy"	"Bright"	"conv:MiXcr"	0.302887813901951	0.276024149697787	0.0799194010073879	0.238415019811957	0.0732034849563469	0.0047011412357287	0.0141034237071861	0.0100738740765615
"HD-3-Naive"	"Healthy"	"Naive"	"conv:MiXcr"	0.291104021723593	0.22299441773233	0.0762509852263709	0.211080201290709	0.0708895878276417	0.0230341517871328	0.0766481257744248	0.027799838363781
"HD-4-Bright"	"Healthy"	"Bright"	"conv:MiXcr"	0.287753194060779	0.14763657209945	0.0720533997928168	0.17503067617404	0.0587016515883971	0.0555555499999993	0.10098218756906	0.101289124309391
"HD-4-Naive"	"Healthy"	"Naive"	"conv:MiXcr"	0.22863145775339	0.182391387645963	0.115133103853339	0.193134030196173	0.0763661763895375	0.0347968204343766	0.099719747150864	0.0677253552078468
"HD-5-Bright"	"Healthy"	"Bright"	"conv:MiXcr"	0.209549447687473	0.178117030534353	0.0556802818141007	0.148331073327348	0.0567280290525381	0.0702739040637639	0.139125865446791	0.138302635473733
