"X1_sample_id"	"X2_sample_id"	"div1"	"div2"	"div12"	"div21"	"count1"	"count2"	"count12"	"count21"	"freq1"	"freq2"	"freq12"	"freq21"	"R"	"Rs"	"D"	"F"	"F2"	"vJSD"	"vjJSD"	"vj2JSD"	"sJSD"	"Jaccard"	"MorisitaHorn"	"X1_state.id"	"X1_cell.type.id"	"X1_locus"	"X1_..filter.."	"X2_state.id"	"X2_cell.type.id"	"X2_locus"	"X2_..filter.."
"CVID-8-Bright-IGL"	"CVID-8-Naive-IGL"	6471	1267	308	308	9557	3648	2478	2562	0.491665809239597	0.453562103692666	0.259286386941508	0.702302631578949	0.701364683826335	0.522008247125664	3.75667e-05	0.42672885053816	0.384399124085561	0.0683335191916137	0.0374785199186204	0.0839347325352623	0.00828258112797251	0.0414535666	0.513622950351278	"CVID"	"Bright"	"IGL"	"conv:MiXcr"	"CVID"	"Naive"	"IGL"	"conv:MiXcr"
"CVID-9-Bright-IGL"	"CVID-9-Naive-IGL"	1395	1745	294	294	2681	5777	1669	4215	0.516470814871913	0.397974648663542	0.622528907124208	0.729617448502682	0.772724438413082	0.583897408317132	0.0001207752	0.673949518016838	0.606201635321514	0.0371935951726112	0.019197751524461	0.0527670747053208	0.00365756930374625	0.1033028812	0.786500091601481	"CVID"	"Bright"	"IGL"	"conv:MiXcr"	"CVID"	"Naive"	"IGL"	"conv:MiXcr"
"HD-1-Bright-IGL"	"HD-1-Naive-IGL"	5926	1940	346	346	10433	5867	2308	4114	0.38836360929116	0.442959607399005	0.221221125275567	0.70121015851372	0.705173484211528	0.501893213824961	3.00963e-05	0.393855938537257	0.353880922111588	0.0549124332188337	0.0306607584010136	0.0662462385359607	0.0196725183096739	0.0460106383	0.387237660412342	"Healthy"	"Bright"	"IGL"	"conv:MiXcr"	"Healthy"	"Naive"	"IGL"	"conv:MiXcr"
"HD-3-Bright-IGL"	"HD-3-Naive-IGL"	38	102	3	3	44	643	3	25	0.0295500335795836	0.127680698967435	0.0681818181818182	0.0388802488335925	0	0	0.0007739938	0.0514871445783882	0.0452930915504576	0.312805892290791	0.170192653808933	0.470212730614602	0.0963834028775763	0.0218978102	0.6934602667268	"Healthy"	"Bright"	"IGL"	"conv:MiXcr"	"Healthy"	"Naive"	"IGL"	"conv:MiXcr"
"HD-4-Bright-IGL"	"HD-4-Naive-IGL"	2455	513	148	148	3373	875	750	539	0.258824432166994	0.204343764595987	0.222353987548177	0.616000000000001	0.601386862594429	0.527941348452111	0.0001175149	0.370094658607331	0.33556726103158	0.0708351024399763	0.0397558930172522	0.104848184079628	0.0265415614081134	0.0524822695	0.500624822483931	"Healthy"	"Bright"	"IGL"	"conv:MiXcr"	"Healthy"	"Naive"	"IGL"	"conv:MiXcr"
"HD-5-Bright-IGL"	"HD-5-Naive-IGL"	3718	1343	178	178	4698	3700	638	2337	0.351594072743629	0.324134910205859	0.135802469135803	0.631621621621621	0.796707707292503	0.530068811962235	3.5648e-05	0.292875017329536	0.264707178118037	0.0600764482758631	0.0355327249994861	0.0925728056787746	0.029825163543744	0.0364530002	0.280105040540879	"Healthy"	"Bright"	"IGL"	"conv:MiXcr"	"Healthy"	"Naive"	"IGL"	"conv:MiXcr"
"Infected-2-Bright-IGL"	"Infected-2-Naive-IGL"	215	158	20	20	404	643	68	306	0.0487510558706406	0.113906111603189	0.168316831683168	0.475894245723173	0.927928832006147	0.0327372144455852	0.0005887548	0.283021221212077	0.248772634625874	0.104252521136186	0.0706730901271046	0.183946799009968	0.0930476328344978	0.0566572238	0.485796494292805	"Infected"	"Bright"	"IGL"	"conv:MiXcr"	"Infected"	"Naive"	"IGL"	"conv:MiXcr"
"Infected-3-Bright-IGL"	"Infected-3-Naive-IGL"	3109	2124	325	325	5236	7258	1800	5029	0.459862989636395	0.452832543049702	0.343773873185638	0.69289060347203	0.729746571510688	0.565845461980063	4.92162e-05	0.488055003508328	0.439115954864632	0.046769674802906	0.0287652293235411	0.0588811825837717	0.0127155386563103	0.0662184189	0.552549263861098	"Infected"	"Bright"	"IGL"	"conv:MiXcr"	"Infected"	"Naive"	"IGL"	"conv:MiXcr"
"Infected-4-Bright-IGL"	"Infected-4-Naive-IGL"	2310	1926	179	179	3262	5548	597	3226	0.32846641828618	0.475081349546141	0.183016554261189	0.581470800288392	0.754920182777496	0.56290455546359	4.02332e-05	0.326218917710604	0.291156093110586	0.0606756579825425	0.0339531159256034	0.0787342326814131	0.0119710606494353	0.0441212719	0.39736622987451	"Infected"	"Bright"	"IGL"	"conv:MiXcr"	"Infected"	"Naive"	"IGL"	"conv:MiXcr"
"Infected-5-Bright-IGL"	"Infected-5-Naive-IGL"	165	1978	71	71	222	7063	123	2726	0.299191374663073	0.466389329107215	0.554054054054054	0.385954976638822	0.472697168088569	0.524156509090246	0.0002175445	0.462428285779619	0.386622078574583	0.0510488703015002	0.0289462476001014	0.0845249834774354	0.0162643142589903	0.0342664093	0.641307282864299	"Infected"	"Bright"	"IGL"	"conv:MiXcr"	"Infected"	"Naive"	"IGL"	"conv:MiXcr"
